Elapsed time,ECG,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,Abdomen_5
'0:05.551',-0.056,0.001,0.016,0.021,0.032,0.033
'0:05.552',-0.057,0.003,0.019,0.024,0.038,0.042
'0:05.553',-0.059,0.004,0.021,0.025,0.04,0.048
'0:05.554',-0.061,0.006,0.019,0.024,0.039,0.049
'0:05.555',-0.062,0.007,0.016,0.021,0.033,0.046
'0:05.556',-0.057,0.006,0.012,0.014,0.024,0.037
'0:05.557',-0.057,0.006,0.006,0.006,0.012,0.025
'0:05.558',-0.06,0.005,0.001,-0.003,0.001,0.01
'0:05.559',-0.057,0.006,-0.003,-0.01,-0.011,-0.006
'0:05.560',-0.054,0.006,-0.006,-0.016,-0.021,-0.022
'0:05.561',-0.056,0.007,-0.008,-0.02,-0.028,-0.033
'0:05.562',-0.062,0.007,-0.01,-0.022,-0.032,-0.042
'0:05.563',-0.064,0.007,-0.011,-0.021,-0.035,-0.046
'0:05.564',-0.06,0.006,-0.01,-0.019,-0.032,-0.045
'0:05.565',-0.057,0.006,-0.006,-0.015,-0.028,-0.04
'0:05.566',-0.056,0.007,0,-0.008,-0.019,-0.03
'0:05.567',-0.052,0.008,0.006,-0.001,-0.009,-0.015
'0:05.568',-0.045,0.007,0.011,0.007,0.003,0.002
'0:05.569',-0.047,0.005,0.015,0.014,0.015,0.02
'0:05.570',-0.052,0.003,0.018,0.019,0.025,0.034
'0:05.571',-0.056,0.001,0.02,0.022,0.031,0.047
'0:05.572',-0.059,0.001,0.021,0.024,0.035,0.053
'0:05.573',-0.06,0.001,0.021,0.024,0.035,0.056
'0:05.574',-0.063,0.001,0.019,0.021,0.032,0.053
'0:05.575',-0.067,0.001,0.015,0.017,0.025,0.046
'0:05.576',-0.066,0.001,0.01,0.011,0.016,0.034
'0:05.577',-0.066,0.003,0.005,0.004,0.006,0.021
'0:05.578',-0.068,0.005,0.001,-0.001,-0.005,0.007
'0:05.579',-0.069,0.01,0.001,-0.005,-0.012,-0.006
'0:05.580',-0.07,0.015,0.002,-0.005,-0.018,-0.017
'0:05.581',-0.071,0.022,0.007,-0.003,-0.02,-0.025
'0:05.582',-0.07,0.028,0.012,0.001,-0.019,-0.029
'0:05.583',-0.074,0.033,0.017,0.005,-0.016,-0.031
'0:05.584',-0.078,0.036,0.024,0.01,-0.011,-0.029
'0:05.585',-0.08,0.039,0.031,0.016,-0.004,-0.024
'0:05.586',-0.084,0.042,0.039,0.023,0.005,-0.015
'0:05.587',-0.087,0.044,0.047,0.031,0.015,-0.002
'0:05.588',-0.089,0.045,0.053,0.038,0.025,0.012
'0:05.589',-0.095,0.045,0.056,0.043,0.035,0.026
'0:05.590',-0.097,0.041,0.056,0.046,0.04,0.037
'0:05.591',-0.097,0.037,0.052,0.045,0.041,0.044
'0:05.592',-0.097,0.031,0.045,0.038,0.036,0.044
'0:05.593',-0.101,0.024,0.034,0.028,0.027,0.041
'0:05.594',-0.107,0.016,0.019,0.012,0.012,0.031
'0:05.595',-0.112,0.006,0.001,-0.006,-0.007,0.015
'0:05.596',-0.111,-0.004,-0.02,-0.027,-0.029,-0.006
'0:05.597',-0.113,-0.016,-0.041,-0.05,-0.054,-0.031
'0:05.598',-0.12,-0.029,-0.064,-0.075,-0.08,-0.058
'0:05.599',-0.12,-0.04,-0.085,-0.098,-0.103,-0.085
'0:05.600',-0.122,-0.049,-0.104,-0.117,-0.123,-0.11
'0:05.601',-0.127,-0.058,-0.12,-0.13,-0.138,-0.127
'0:05.602',-0.13,-0.065,-0.129,-0.138,-0.144,-0.137
'0:05.603',-0.128,-0.066,-0.131,-0.138,-0.143,-0.139
'0:05.604',-0.129,-0.065,-0.126,-0.127,-0.132,-0.132
'0:05.605',-0.128,-0.057,-0.113,-0.11,-0.113,-0.119
'0:05.606',-0.13,-0.047,-0.093,-0.087,-0.088,-0.098
'0:05.607',-0.124,-0.035,-0.07,-0.062,-0.061,-0.073
'0:05.608',-0.119,-0.023,-0.047,-0.038,-0.035,-0.046
'0:05.609',-0.118,-0.014,-0.027,-0.016,-0.011,-0.021
'0:05.610',-0.117,-0.006,-0.011,0.001,0.008,0.001
'0:05.611',-0.117,0,0.003,0.014,0.023,0.019
'0:05.612',-0.116,0.006,0.015,0.024,0.033,0.032
'0:05.613',-0.112,0.013,0.024,0.032,0.04,0.04
'0:05.614',-0.113,0.019,0.029,0.037,0.042,0.044
'0:05.615',-0.12,0.024,0.034,0.039,0.043,0.042
'0:05.616',-0.119,0.03,0.036,0.039,0.04,0.037
'0:05.617',-0.117,0.034,0.036,0.036,0.034,0.026
'0:05.618',-0.12,0.037,0.035,0.033,0.025,0.012
'0:05.619',-0.112,0.041,0.035,0.028,0.015,-0.003
'0:05.620',-0.105,0.044,0.033,0.023,0.006,-0.018
'0:05.621',-0.107,0.046,0.031,0.017,-0.004,-0.031
'0:05.622',-0.111,0.046,0.03,0.013,-0.012,-0.041
'0:05.623',-0.112,0.045,0.027,0.01,-0.017,-0.046
'0:05.624',-0.108,0.042,0.026,0.008,-0.019,-0.047
'0:05.625',-0.107,0.041,0.027,0.008,-0.017,-0.044
'0:05.626',-0.117,0.041,0.028,0.01,-0.011,-0.036
'0:05.627',-0.125,0.039,0.03,0.014,-0.002,-0.024
'0:05.628',-0.124,0.038,0.032,0.017,0.006,-0.01
'0:05.629',-0.122,0.034,0.034,0.02,0.015,0.004
'0:05.630',-0.122,0.03,0.033,0.021,0.021,0.016
'0:05.631',-0.121,0.028,0.032,0.024,0.026,0.024
'0:05.632',-0.121,0.026,0.032,0.025,0.028,0.03
'0:05.633',-0.122,0.025,0.031,0.025,0.029,0.034
'0:05.634',-0.123,0.024,0.029,0.023,0.026,0.032
'0:05.635',-0.12,0.024,0.026,0.019,0.021,0.028
'0:05.636',-0.117,0.022,0.02,0.013,0.013,0.02
'0:05.637',-0.121,0.022,0.015,0.006,0.004,0.007
'0:05.638',-0.13,0.023,0.01,-0.001,-0.006,-0.007
'0:05.639',-0.132,0.026,0.007,-0.006,-0.014,-0.022
'0:05.640',-0.133,0.029,0.007,-0.01,-0.02,-0.036
'0:05.641',-0.138,0.032,0.008,-0.011,-0.025,-0.046
'0:05.642',-0.139,0.035,0.01,-0.012,-0.028,-0.056
'0:05.643',-0.136,0.034,0.011,-0.013,-0.029,-0.06
'0:05.644',-0.132,0.033,0.013,-0.012,-0.028,-0.062
'0:05.645',-0.13,0.033,0.016,-0.008,-0.024,-0.058
'0:05.646',-0.132,0.031,0.018,-0.003,-0.016,-0.05
'0:05.647',-0.132,0.03,0.022,0.004,-0.008,-0.037
'0:05.648',-0.13,0.029,0.026,0.01,0.002,-0.022
'0:05.649',-0.13,0.027,0.031,0.016,0.011,-0.007
'0:05.650',-0.127,0.024,0.032,0.02,0.018,0.006
'0:05.651',-0.124,0.023,0.034,0.023,0.022,0.016
'0:05.652',-0.121,0.024,0.037,0.023,0.025,0.024
'0:05.653',-0.121,0.027,0.037,0.024,0.027,0.028
'0:05.654',-0.117,0.029,0.037,0.023,0.026,0.027
'0:05.655',-0.11,0.033,0.036,0.021,0.022,0.024
'0:05.656',-0.105,0.036,0.031,0.016,0.015,0.017
'0:05.657',-0.107,0.038,0.026,0.01,0.007,0.006
'0:05.658',-0.108,0.04,0.021,0.004,-0.003,-0.007
'0:05.659',-0.1,0.042,0.016,-0.003,-0.013,-0.022
'0:05.660',-0.092,0.043,0.011,-0.01,-0.022,-0.037
'0:05.661',-0.086,0.044,0.007,-0.016,-0.031,-0.051
'0:05.662',-0.082,0.042,0.002,-0.022,-0.04,-0.064
'0:05.663',-0.079,0.038,-0.003,-0.029,-0.048,-0.075
'0:05.664',-0.074,0.032,-0.009,-0.033,-0.054,-0.083
'0:05.665',-0.07,0.025,-0.013,-0.037,-0.057,-0.088
'0:05.666',-0.061,0.017,-0.017,-0.039,-0.059,-0.089
'0:05.667',-0.042,0.008,-0.021,-0.04,-0.058,-0.086
'0:05.668',-0.023,-0.004,-0.026,-0.042,-0.056,-0.081
'0:05.669',-0.01,-0.019,-0.032,-0.046,-0.056,-0.074
'0:05.670',0.002,-0.036,-0.04,-0.051,-0.055,-0.067
'0:05.671',0.017,-0.053,-0.049,-0.056,-0.056,-0.063
'0:05.672',0.036,-0.069,-0.058,-0.061,-0.059,-0.059
'0:05.673',0.063,-0.083,-0.067,-0.068,-0.062,-0.058
'0:05.674',0.095,-0.095,-0.077,-0.073,-0.066,-0.058
'0:05.675',0.127,-0.106,-0.086,-0.08,-0.073,-0.059
'0:05.676',0.167,-0.116,-0.096,-0.087,-0.078,-0.061
'0:05.677',0.215,-0.124,-0.106,-0.093,-0.084,-0.063
'0:05.678',0.27,-0.129,-0.113,-0.098,-0.086,-0.061
'0:05.679',0.332,-0.134,-0.119,-0.099,-0.083,-0.055
'0:05.680',0.396,-0.138,-0.122,-0.098,-0.076,-0.041
'0:05.681',0.465,-0.142,-0.124,-0.095,-0.064,-0.022
'0:05.682',0.532,-0.148,-0.124,-0.089,-0.048,0.005
'0:05.683',0.592,-0.155,-0.124,-0.08,-0.027,0.037
'0:05.684',0.652,-0.161,-0.122,-0.068,0,0.077
'0:05.685',0.716,-0.166,-0.116,-0.051,0.031,0.123
'0:05.686',0.768,-0.168,-0.107,-0.03,0.068,0.176
'0:05.687',0.809,-0.168,-0.095,-0.006,0.107,0.231
'0:05.688',0.85,-0.168,-0.082,0.018,0.147,0.288
'0:05.689',0.886,-0.165,-0.067,0.044,0.187,0.346
'0:05.690',0.928,-0.16,-0.052,0.069,0.225,0.4
'0:05.691',0.969,-0.152,-0.037,0.093,0.259,0.45
'0:05.692',1.004,-0.143,-0.021,0.115,0.289,0.491
'0:05.693',1.036,-0.129,-0.006,0.132,0.313,0.523
'0:05.694',1.059,-0.116,0.006,0.145,0.328,0.544
'0:05.695',1.076,-0.105,0.013,0.152,0.333,0.551
'0:05.696',1.091,-0.096,0.017,0.153,0.331,0.548
'0:05.697',1.089,-0.089,0.018,0.149,0.322,0.534
'0:05.698',1.065,-0.079,0.019,0.146,0.31,0.513
'0:05.699',1.02,-0.07,0.021,0.142,0.298,0.489
'0:05.700',0.967,-0.058,0.025,0.14,0.286,0.464
'0:05.701',0.913,-0.045,0.029,0.139,0.274,0.439
'0:05.702',0.848,-0.031,0.034,0.138,0.262,0.411
'0:05.703',0.772,-0.016,0.041,0.136,0.248,0.382
'0:05.704',0.687,-0.002,0.047,0.135,0.235,0.352
'0:05.705',0.572,0.015,0.058,0.135,0.221,0.323
'0:05.706',0.429,0.033,0.07,0.138,0.21,0.295
'0:05.707',0.305,0.054,0.086,0.142,0.202,0.271
'0:05.708',0.226,0.075,0.103,0.147,0.197,0.251
'0:05.709',0.167,0.097,0.12,0.155,0.194,0.234
'0:05.710',0.105,0.116,0.136,0.16,0.191,0.22
'0:05.711',0.036,0.132,0.146,0.163,0.187,0.208
'0:05.712',-0.031,0.143,0.152,0.163,0.18,0.196
'0:05.713',-0.087,0.148,0.153,0.159,0.17,0.182
'0:05.714',-0.15,0.148,0.149,0.149,0.156,0.166
'0:05.715',-0.215,0.143,0.138,0.136,0.14,0.147
'0:05.716',-0.271,0.135,0.124,0.121,0.12,0.124
'0:05.717',-0.314,0.125,0.11,0.104,0.098,0.101
'0:05.718',-0.337,0.116,0.096,0.088,0.078,0.076
'0:05.719',-0.349,0.107,0.084,0.074,0.06,0.054
'0:05.720',-0.361,0.1,0.073,0.06,0.043,0.032
'0:05.721',-0.373,0.091,0.063,0.05,0.029,0.015
'0:05.722',-0.372,0.081,0.052,0.038,0.016,-0.001
'0:05.723',-0.357,0.07,0.042,0.028,0.006,-0.014
'0:05.724',-0.321,0.058,0.031,0.019,-0.001,-0.022
'0:05.725',-0.267,0.047,0.024,0.013,-0.005,-0.026
'0:05.726',-0.209,0.038,0.019,0.01,-0.005,-0.024
'0:05.727',-0.16,0.029,0.015,0.009,-0.001,-0.017
'0:05.728',-0.13,0.021,0.013,0.01,0.005,-0.007
'0:05.729',-0.121,0.016,0.012,0.012,0.012,0.002
'0:05.730',-0.118,0.011,0.012,0.015,0.017,0.013
'0:05.731',-0.115,0.01,0.012,0.017,0.021,0.021
'0:05.732',-0.113,0.01,0.014,0.019,0.022,0.028
'0:05.733',-0.111,0.013,0.015,0.019,0.023,0.03
'0:05.734',-0.111,0.015,0.015,0.018,0.021,0.029
'0:05.735',-0.111,0.017,0.013,0.015,0.015,0.022
'0:05.736',-0.105,0.019,0.01,0.01,0.007,0.012
'0:05.737',-0.107,0.02,0.004,0.003,-0.002,-0.002
'0:05.738',-0.112,0.021,-0.002,-0.005,-0.015,-0.018
'0:05.739',-0.116,0.021,-0.008,-0.012,-0.026,-0.035
'0:05.740',-0.121,0.021,-0.013,-0.02,-0.035,-0.05
'0:05.741',-0.13,0.021,-0.016,-0.025,-0.042,-0.061
'0:05.742',-0.141,0.019,-0.018,-0.028,-0.047,-0.069
'0:05.743',-0.146,0.016,-0.02,-0.028,-0.049,-0.074
'0:05.744',-0.146,0.014,-0.02,-0.028,-0.048,-0.074
'0:05.745',-0.145,0.011,-0.016,-0.023,-0.042,-0.07
'0:05.746',-0.141,0.01,-0.012,-0.017,-0.035,-0.062
'0:05.747',-0.134,0.009,-0.008,-0.01,-0.024,-0.049
'0:05.748',-0.127,0.006,-0.005,-0.003,-0.015,-0.034
'0:05.749',-0.13,0.003,-0.002,0.002,-0.006,-0.02
'0:05.750',-0.136,0.001,-0.001,0.006,0.001,-0.007
'0:05.751',-0.142,-0.001,0.001,0.01,0.006,0.002
'0:05.752',-0.142,0.001,0.003,0.011,0.009,0.009
'0:05.753',-0.133,0.003,0.005,0.012,0.011,0.011
'0:05.754',-0.127,0.006,0.005,0.012,0.009,0.01
'0:05.755',-0.126,0.007,0.003,0.009,0.005,0.005
'0:05.756',-0.118,0.007,-0.002,0.003,-0.004,-0.005
'0:05.757',-0.116,0.006,-0.007,-0.006,-0.015,-0.018
'0:05.758',-0.121,0.004,-0.014,-0.015,-0.026,-0.033
'0:05.759',-0.117,0.003,-0.02,-0.023,-0.038,-0.049
'0:05.760',-0.11,0.002,-0.025,-0.029,-0.046,-0.061
'0:05.761',-0.105,0,-0.027,-0.034,-0.053,-0.072
'0:05.762',-0.107,-0.003,-0.031,-0.037,-0.057,-0.08
'0:05.763',-0.112,-0.007,-0.033,-0.039,-0.06,-0.083
'0:05.764',-0.116,-0.011,-0.034,-0.039,-0.059,-0.083
'0:05.765',-0.116,-0.014,-0.032,-0.037,-0.054,-0.078
'0:05.766',-0.12,-0.015,-0.028,-0.032,-0.047,-0.071
'0:05.767',-0.125,-0.014,-0.022,-0.026,-0.037,-0.059
'0:05.768',-0.13,-0.012,-0.016,-0.018,-0.025,-0.044
'0:05.769',-0.135,-0.011,-0.01,-0.011,-0.015,-0.029
'0:05.770',-0.137,-0.009,-0.005,-0.004,-0.005,-0.016
'0:05.771',-0.137,-0.007,0,0.002,0.004,-0.003
'0:05.772',-0.135,-0.004,0.004,0.007,0.009,0.006
'0:05.773',-0.13,-0.002,0.006,0.01,0.014,0.012
'0:05.774',-0.132,0,0.006,0.012,0.015,0.014
'0:05.775',-0.138,0.001,0.002,0.01,0.011,0.01
'0:05.776',-0.137,0,-0.002,0.004,0.002,0
'0:05.777',-0.137,-0.001,-0.008,-0.005,-0.009,-0.015
'0:05.778',-0.145,-0.001,-0.015,-0.013,-0.022,-0.032
'0:05.779',-0.151,-0.002,-0.02,-0.021,-0.036,-0.049
'0:05.780',-0.151,-0.001,-0.023,-0.028,-0.047,-0.063
'0:05.781',-0.152,-0.001,-0.027,-0.032,-0.054,-0.074
'0:05.782',-0.156,-0.002,-0.027,-0.034,-0.058,-0.081
'0:05.783',-0.157,-0.004,-0.028,-0.034,-0.058,-0.085
'0:05.784',-0.151,-0.004,-0.027,-0.033,-0.054,-0.083
'0:05.785',-0.145,-0.005,-0.023,-0.03,-0.049,-0.077
'0:05.786',-0.142,-0.005,-0.017,-0.024,-0.039,-0.067
'0:05.787',-0.136,-0.004,-0.012,-0.018,-0.029,-0.054
'0:05.788',-0.13,-0.005,-0.007,-0.011,-0.018,-0.039
'0:05.789',-0.13,-0.006,-0.004,-0.006,-0.009,-0.025
'0:05.790',-0.123,-0.007,-0.001,-0.001,0,-0.011
'0:05.791',-0.118,-0.007,0.001,0.003,0.006,0
'0:05.792',-0.121,-0.005,0.002,0.006,0.011,0.009
'0:05.793',-0.124,-0.003,0.003,0.009,0.012,0.012
'0:05.794',-0.126,0.001,0.002,0.008,0.01,0.012
'0:05.795',-0.123,0.003,0.001,0.005,0.006,0.009
'0:05.796',-0.116,0.003,-0.003,0,-0.002,0.002
'0:05.797',-0.117,0.004,-0.007,-0.007,-0.011,-0.008
'0:05.798',-0.119,0.005,-0.011,-0.014,-0.02,-0.021
'0:05.799',-0.115,0.006,-0.015,-0.019,-0.029,-0.034
'0:05.800',-0.112,0.007,-0.016,-0.024,-0.036,-0.045
'0:05.801',-0.114,0.008,-0.018,-0.026,-0.041,-0.055
'0:05.802',-0.12,0.01,-0.02,-0.028,-0.044,-0.063
'0:05.803',-0.126,0.01,-0.02,-0.03,-0.046,-0.068
'0:05.804',-0.121,0.011,-0.02,-0.029,-0.046,-0.069
'0:05.805',-0.115,0.013,-0.018,-0.027,-0.041,-0.066
'0:05.806',-0.114,0.015,-0.015,-0.023,-0.036,-0.059
'0:05.807',-0.11,0.016,-0.01,-0.017,-0.027,-0.047
'0:05.808',-0.101,0.017,-0.006,-0.012,-0.018,-0.033
'0:05.809',-0.101,0.016,-0.002,-0.006,-0.008,-0.019
'0:05.810',-0.105,0.013,0,-0.002,0,-0.005
'0:05.811',-0.104,0.01,0.001,0.001,0.006,0.006
'0:05.812',-0.097,0.004,0.002,0.003,0.011,0.013
'0:05.813',-0.092,0,0.002,0.003,0.012,0.017
'0:05.814',-0.094,-0.004,0.001,0.002,0.011,0.017
'0:05.815',-0.097,-0.009,-0.002,-0.001,0.006,0.012
'0:05.816',-0.097,-0.013,-0.006,-0.008,-0.001,0.002
'0:05.817',-0.104,-0.015,-0.01,-0.014,-0.011,-0.011
'0:05.818',-0.115,-0.016,-0.014,-0.021,-0.021,-0.026
'0:05.819',-0.115,-0.015,-0.016,-0.026,-0.032,-0.042
'0:05.820',-0.117,-0.013,-0.018,-0.03,-0.039,-0.056
'0:05.821',-0.12,-0.011,-0.019,-0.031,-0.045,-0.066
'0:05.822',-0.117,-0.011,-0.02,-0.033,-0.048,-0.073
'0:05.823',-0.117,-0.01,-0.02,-0.033,-0.05,-0.076
'0:05.824',-0.121,-0.01,-0.016,-0.031,-0.048,-0.074
'0:05.825',-0.125,-0.008,-0.012,-0.026,-0.042,-0.068
'0:05.826',-0.132,-0.005,-0.007,-0.021,-0.033,-0.059
'0:05.827',-0.135,-0.003,-0.001,-0.015,-0.022,-0.047
'0:05.828',-0.129,-0.003,0.004,-0.009,-0.012,-0.033
'0:05.829',-0.126,-0.004,0.007,-0.003,-0.002,-0.021
'0:05.830',-0.127,-0.006,0.01,0,0.006,-0.009
'0:05.831',-0.126,-0.009,0.01,0.002,0.011,-0.001
'0:05.832',-0.124,-0.01,0.01,0.003,0.013,0.005
'0:05.833',-0.125,-0.01,0.009,0.003,0.014,0.008
'0:05.834',-0.132,-0.009,0.007,0.001,0.011,0.007
'0:05.835',-0.136,-0.008,0.005,-0.003,0.006,0.001
'0:05.836',-0.127,-0.008,-0.001,-0.008,-0.003,-0.01
'0:05.837',-0.118,-0.007,-0.005,-0.016,-0.013,-0.022
'0:05.838',-0.114,-0.006,-0.01,-0.023,-0.024,-0.037
'0:05.839',-0.107,-0.004,-0.012,-0.028,-0.032,-0.051
'0:05.840',-0.105,-0.002,-0.014,-0.031,-0.04,-0.064
'0:05.841',-0.102,-0.001,-0.015,-0.033,-0.044,-0.073
'0:05.842',-0.1,0,-0.017,-0.033,-0.046,-0.08
'0:05.843',-0.101,-0.001,-0.018,-0.034,-0.046,-0.081
'0:05.844',-0.097,-0.001,-0.017,-0.031,-0.042,-0.08
'0:05.845',-0.099,-0.002,-0.016,-0.028,-0.037,-0.073
'0:05.846',-0.104,-0.001,-0.011,-0.023,-0.028,-0.062
'0:05.847',-0.103,-0.001,-0.007,-0.016,-0.019,-0.049
'0:05.848',-0.102,-0.001,-0.003,-0.01,-0.009,-0.034
'0:05.849',-0.105,-0.003,0,-0.006,0,-0.02
'0:05.850',-0.104,-0.005,0.002,-0.001,0.008,-0.007
'0:05.851',-0.103,-0.006,0.003,0.001,0.012,0.004
'0:05.852',-0.102,-0.006,0.004,0.003,0.015,0.011
'0:05.853',-0.097,-0.004,0.005,0.003,0.016,0.016
'0:05.854',-0.097,-0.002,0.004,0.003,0.014,0.015
'0:05.855',-0.097,0.001,0.002,-0.001,0.008,0.01
'0:05.856',-0.092,0.001,-0.002,-0.006,0.001,0
'0:05.857',-0.092,0.002,-0.006,-0.013,-0.009,-0.012
'0:05.858',-0.092,0.003,-0.01,-0.02,-0.019,-0.026
'0:05.859',-0.087,0.004,-0.015,-0.026,-0.028,-0.041
'0:05.860',-0.079,0.004,-0.017,-0.032,-0.035,-0.053
'0:05.861',-0.076,0.004,-0.021,-0.037,-0.042,-0.064
'0:05.862',-0.079,0.002,-0.023,-0.041,-0.046,-0.071
'0:05.863',-0.082,-0.001,-0.025,-0.044,-0.048,-0.076
'0:05.864',-0.073,-0.003,-0.026,-0.043,-0.048,-0.076
'0:05.865',-0.063,-0.004,-0.026,-0.041,-0.044,-0.073
'0:05.866',-0.066,-0.006,-0.022,-0.036,-0.038,-0.063
'0:05.867',-0.071,-0.006,-0.017,-0.029,-0.027,-0.051
'0:05.868',-0.071,-0.008,-0.012,-0.022,-0.016,-0.036
'0:05.869',-0.07,-0.009,-0.008,-0.013,-0.004,-0.019
'0:05.870',-0.066,-0.011,-0.003,-0.006,0.008,-0.002
'0:05.871',-0.062,-0.011,0.001,0.001,0.016,0.012
'0:05.872',-0.065,-0.011,0.003,0.005,0.022,0.021
'0:05.873',-0.067,-0.01,0.005,0.006,0.025,0.027
'0:05.874',-0.064,-0.01,0.004,0.005,0.022,0.026
'0:05.875',-0.058,-0.01,0.001,-0.001,0.016,0.021
'0:05.876',-0.054,-0.01,-0.004,-0.007,0.008,0.01
'0:05.877',-0.056,-0.009,-0.008,-0.014,-0.003,-0.002
'0:05.878',-0.057,-0.008,-0.012,-0.021,-0.014,-0.018
'0:05.879',-0.057,-0.007,-0.016,-0.028,-0.022,-0.034
'0:05.880',-0.061,-0.006,-0.018,-0.033,-0.029,-0.046
'0:05.881',-0.061,-0.004,-0.02,-0.034,-0.032,-0.056
'0:05.882',-0.057,-0.005,-0.02,-0.036,-0.035,-0.061
'0:05.883',-0.057,-0.006,-0.02,-0.036,-0.033,-0.064
'0:05.884',-0.059,-0.008,-0.017,-0.034,-0.029,-0.061
'0:05.885',-0.061,-0.009,-0.014,-0.03,-0.024,-0.054
'0:05.886',-0.062,-0.008,-0.009,-0.025,-0.015,-0.044
'0:05.887',-0.056,-0.008,-0.004,-0.017,-0.005,-0.03
'0:05.888',-0.045,-0.008,0.001,-0.01,0.006,-0.015
'0:05.889',-0.036,-0.01,0.005,-0.005,0.015,0.001
'0:05.890',-0.031,-0.012,0.006,-0.001,0.022,0.015
'0:05.891',-0.029,-0.015,0.006,0.002,0.028,0.025
'0:05.892',-0.03,-0.016,0.005,0.003,0.031,0.033
'0:05.893',-0.032,-0.016,0.003,0.004,0.031,0.037
'0:05.894',-0.031,-0.017,0.001,0.002,0.029,0.036
'0:05.895',-0.022,-0.019,-0.002,-0.001,0.024,0.031
'0:05.896',-0.015,-0.019,-0.006,-0.006,0.017,0.022
'0:05.897',-0.016,-0.019,-0.01,-0.012,0.008,0.012
'0:05.898',-0.021,-0.019,-0.014,-0.017,-0.001,-0.001
'0:05.899',-0.01,-0.017,-0.017,-0.024,-0.009,-0.014
'0:05.900',0.003,-0.015,-0.02,-0.028,-0.016,-0.025
'0:05.901',0.01,-0.013,-0.022,-0.03,-0.021,-0.034
'0:05.902',0.012,-0.011,-0.023,-0.031,-0.022,-0.038
'0:05.903',0.015,-0.011,-0.022,-0.031,-0.021,-0.04
'0:05.904',0.024,-0.011,-0.022,-0.028,-0.016,-0.036
'0:05.905',0.035,-0.01,-0.02,-0.024,-0.008,-0.027
'0:05.906',0.04,-0.01,-0.015,-0.018,0.002,-0.014
'0:05.907',0.041,-0.011,-0.011,-0.011,0.015,0.003
'0:05.908',0.043,-0.014,-0.006,-0.003,0.026,0.021
'0:05.909',0.043,-0.019,-0.004,0.003,0.037,0.039
'0:05.910',0.045,-0.023,-0.002,0.007,0.044,0.054
'0:05.911',0.051,-0.028,-0.003,0.01,0.05,0.066
'0:05.912',0.062,-0.031,-0.005,0.01,0.052,0.074
'0:05.913',0.07,-0.034,-0.006,0.01,0.051,0.076
'0:05.914',0.071,-0.034,-0.008,0.008,0.049,0.076
'0:05.915',0.067,-0.034,-0.011,0.004,0.043,0.071
'0:05.916',0.068,-0.035,-0.015,-0.001,0.036,0.063
'0:05.917',0.071,-0.033,-0.019,-0.008,0.027,0.05
'0:05.918',0.076,-0.03,-0.022,-0.014,0.017,0.037
'0:05.919',0.085,-0.026,-0.025,-0.019,0.008,0.024
'0:05.920',0.081,-0.021,-0.025,-0.023,0.002,0.014
'0:05.921',0.075,-0.017,-0.026,-0.023,-0.002,0.005
'0:05.922',0.076,-0.014,-0.025,-0.024,-0.003,0.001
'0:05.923',0.081,-0.012,-0.023,-0.023,-0.002,-0.001
'0:05.924',0.086,-0.011,-0.021,-0.021,0.002,0.002
'0:05.925',0.09,-0.009,-0.016,-0.016,0.009,0.01
'0:05.926',0.086,-0.006,-0.011,-0.011,0.018,0.021
'0:05.927',0.088,-0.005,-0.006,-0.004,0.028,0.036
'0:05.928',0.096,-0.005,-0.002,0.002,0.038,0.051
'0:05.929',0.101,-0.006,0,0.007,0.048,0.067
'0:05.930',0.105,-0.009,0.001,0.011,0.054,0.079
'0:05.931',0.111,-0.011,-0.001,0.013,0.059,0.09
'0:05.932',0.122,-0.015,-0.002,0.015,0.061,0.096
'0:05.933',0.137,-0.018,-0.004,0.015,0.062,0.1
'0:05.934',0.142,-0.024,-0.007,0.014,0.06,0.101
'0:05.935',0.134,-0.029,-0.012,0.01,0.054,0.098
'0:05.936',0.13,-0.035,-0.017,0.005,0.047,0.091
'0:05.937',0.13,-0.04,-0.022,-0.002,0.039,0.081
'0:05.938',0.13,-0.044,-0.027,-0.008,0.029,0.069
'0:05.939',0.139,-0.045,-0.029,-0.013,0.021,0.057
'0:05.940',0.15,-0.046,-0.032,-0.017,0.015,0.046
'0:05.941',0.155,-0.047,-0.034,-0.02,0.01,0.036
'0:05.942',0.158,-0.05,-0.037,-0.021,0.008,0.03
'0:05.943',0.168,-0.052,-0.038,-0.022,0.008,0.027
'0:05.944',0.178,-0.056,-0.038,-0.021,0.01,0.029
'0:05.945',0.181,-0.057,-0.036,-0.017,0.016,0.037
'0:05.946',0.179,-0.058,-0.03,-0.01,0.026,0.048
'0:05.947',0.181,-0.056,-0.025,-0.002,0.036,0.063
'0:05.948',0.186,-0.056,-0.02,0.006,0.048,0.08
'0:05.949',0.182,-0.055,-0.015,0.013,0.059,0.095
'0:05.950',0.18,-0.054,-0.011,0.019,0.068,0.108
'0:05.951',0.177,-0.052,-0.008,0.023,0.074,0.117
'0:05.952',0.177,-0.051,-0.006,0.027,0.079,0.125
'0:05.953',0.18,-0.048,-0.005,0.03,0.08,0.128
'0:05.954',0.179,-0.046,-0.005,0.03,0.078,0.127
'0:05.955',0.177,-0.045,-0.007,0.027,0.072,0.122
'0:05.956',0.182,-0.045,-0.011,0.022,0.062,0.115
